CodAsignatura,NombreAsignatura,Seccion,Dia,DiaNumero,BloqueInicio,BloqueFin,AulaAsignada,CapacidadAula,TipoAula,CapacidadRequerida,Clasificacion,Estado
SLC805,Prácticas Profesionales I,1M,Jueves,4,2,5,CAT.Z.I,20,SALON,20,NUEVA,ASIGNADA
SLC805,Prácticas Profesionales I,1M,Viernes,5,2,5,CAT.Z.I,20,SALON,20,NUEVA,ASIGNADA
SLH803,Metodología de la Investigación,1M,Miércoles,3,9,10,C.FUNDAD,20,SALON,20,NUEVA,ASIGNADA
SLH805,Prácticas Profesionales I,1M,Jueves,4,2,5,H.CAB,20,SALON,20,NUEVA,ASIGNADA
SLH805,Prácticas Profesionales I,1M,Viernes,5,2,5,H.CAB,20,SALON,20,NUEVA,ASIGNADA
SLH805,Prácticas Profesionales I,1M,Jueves,4,2,5,H.METROP,20,SALON,20,NUEVA,ASIGNADA
SLH805,Prácticas Profesionales I,1M,Viernes,5,2,5,H.METROP,20,SALON,20,NUEVA,ASIGNADA
IIE216,Arquitectura de Computadoras I,2M,Martes,2,5,6,C.AMAURI,20,SALON,19,NUEVA,ASIGNADA
IIE817,Probabilidad y Estadística,1M,Jueves,4,1,2,C.PASTOR,20,SALON,18,NUEVA,ASIGNADA
HAG8253,Televisión y Diseño,2501,Lunes,1,1,4,JARALES,15,SALON,15,NUEVA,ASIGNADA
HAG8253,Televisión y Diseño,2501,Martes,2,1,2,JARALES,15,SALON,15,NUEVA,ASIGNADA
MPC1001,Pasantía II,1M-L,Jueves,4,5,7,C.MILAG,10,SALON,8,NUEVA,ASIGNADA
MPC1001,Pasantía II,1M-N,Martes,2,5,7,CDI.CANA,10,SALON,8,NUEVA,ASIGNADA
